1300_1330vwap,935_940vwap,amount,direction,excutointime_13:00_vwap,excutointime_9:35_vwap,instrument,pnl_buy_935-940,pnl_buy_excutointime,pnl_sell_1300-1330,pnl_sell_excutointime,price,tradingday,tradingtime,volume
1.556076484,NaN,3118792,SELL,1.560142326,NaN,159368.SZ,NaN,NaN,21.33260454,-4.783702607,1.559396,20251117,14:56:27,2000000
NaN,28.8364369,46241,BUY,NaN,28.8454478,300001.SZ,-22.2593733,-19.12856559,NaN,NaN,28.900625,20251117,09:39:01,1600
NaN,84.83837973,237959,BUY,NaN,84.987122,300014.SZ,-17.32440134,0.207661394,NaN,NaN,84.98535714,20251117,09:39:01,2800
NaN,26.72240039,34905,BUY,NaN,26.76456334,300035.SZ,-47.75005437,-31.92155908,NaN,NaN,26.85,20251117,09:39:01,1300
NaN,62.64813916,69203,BUY,NaN,62.74008095,300037.SZ,-42.08888369,-27.3728107,NaN,NaN,62.91181818,20251117,09:39:01,1100
NaN,5.605732536,19082,BUY,NaN,5.606900469,300072.SZ,-11.81006321,-9.724574202,NaN,NaN,5.612352941,20251117,09:40:01,3400
NaN,67.16640673,60544,BUY,NaN,67.21585748,300073.SZ,-15.58880177,-8.22032678,NaN,NaN,67.27111111,20251117,09:39:01,900
NaN,21.34838821,27783,BUY,NaN,21.34655433,300077.SZ,-10.84402551,-11.70405652,NaN,NaN,21.37153846,20251117,09:39:30,1300
NaN,71.46414118,300251,BUY,NaN,71.44209163,300124.SZ,-3.385216074,-6.472613091,NaN,NaN,71.48833333,20251117,09:39:01,4200
NaN,32.05002747,6415,BUY,NaN,32.10931365,300127.SZ,-7.791733562,10.6865091,NaN,NaN,32.075,20251117,09:37:01,200
NaN,8.191482689,11462,BUY,NaN,8.192164716,300129.SZ,5.297981476,6.130076119,NaN,NaN,8.187142857,20251117,09:39:08,1400
NaN,32.02789878,99378,BUY,NaN,32.04853636,300207.SZ,-9.217144353,-2.771733163,NaN,NaN,32.05741935,20251117,09:39:44,3100
NaN,15.43664036,20076,BUY,NaN,15.43663885,300224.SZ,-4.169664037,-4.170643193,NaN,NaN,15.44307692,20251117,09:40:01,1300
NaN,185.9360841,613077,BUY,NaN,185.9830483,300274.SZ,8.345607752,10.86868765,NaN,NaN,185.7809091,20251117,09:39:01,3300
NaN,39.03785203,54622,BUY,NaN,39.05853229,300316.SZ,5.670841968,10.96252275,NaN,NaN,39.01571429,20251117,09:39:04,1400
NaN,17.95843348,7195,BUY,NaN,17.97035261,300351.SZ,-16.18544027,-9.542041534,NaN,NaN,17.9875,20251117,09:38:07,400
NaN,56.1196027,73309,BUY,NaN,56.24497921,300390.SZ,-48.45646617,-26.05730315,NaN,NaN,56.39153846,20251117,09:39:03,1300
NaN,8.627809589,15523,BUY,NaN,8.634008631,300393.SZ,4.544258424,11.72079259,NaN,NaN,8.623888889,20251117,09:39:01,1800
NaN,24.40310557,36762,BUY,NaN,24.4546944,300409.SZ,-42.98404989,-21.79769426,NaN,NaN,24.508,20251117,09:39:01,1500
NaN,19.643802,45277,BUY,NaN,19.6766479,300432.SZ,-21.30452025,-4.576120396,NaN,NaN,19.68565217,20251117,09:39:01,2300
NaN,55.40940424,44325,BUY,NaN,55.45654822,300438.SZ,0.569260555,9.069842811,NaN,NaN,55.40625,20251117,09:39:02,800
NaN,26.96429895,13475,BUY,NaN,26.97309148,300443.SZ,5.30291924,8.56093011,NaN,NaN,26.95,20251117,09:39:01,500
NaN,55.0594874,137950,BUY,NaN,55.20292012,300450.SZ,-21.88770789,4.151975662,NaN,NaN,55.18,20251117,09:39:01,2500
NaN,29.59756142,23703,BUY,NaN,29.63130965,300457.SZ,-10.53754938,0.863834351,NaN,NaN,29.62875,20251117,09:39:03,800
NaN,16.94776367,47796,BUY,NaN,17.02207137,300568.SZ,-72.1253435,-28.15675358,NaN,NaN,17.07,20251117,09:39:01,2800
NaN,28.97007516,20248,BUY,NaN,28.96726925,300602.SZ,15.3126531,14.34548921,NaN,NaN,28.92571429,20251117,09:39:01,700
NaN,29.17707991,11671,BUY,NaN,29.1976777,300681.SZ,-0.143980164,6.910721548,NaN,NaN,29.1775,20251117,09:38:01,400
NaN,46.69592536,27991,BUY,NaN,46.69556475,300693.SZ,9.478062581,9.400910294,NaN,NaN,46.65166667,20251117,09:40:01,600
NaN,94.97735816,57005,BUY,NaN,94.99405551,300724.SZ,-3.261321822,-1.503022912,NaN,NaN,95.00833333,20251117,09:39:04,600
NaN,35.02087621,45541,BUY,NaN,35.02073214,300748.SZ,-3.044540934,-3.085692688,NaN,NaN,35.03153846,20251117,09:40:01,1300
NaN,386.9497073,426211,BUY,NaN,387.0342886,300750.SZ,-13.30504088,-11.11676426,NaN,NaN,387.4645455,20251117,09:39:26,1100
NaN,111.0532098,33307,BUY,NaN,111.2689039,300751.SZ,2.690288066,22.07001021,NaN,NaN,111.0233333,20251117,09:37:01,300
NaN,204.6624517,40970,BUY,NaN,204.7236778,300757.SZ,-9.163785623,-6.170375103,NaN,NaN,204.85,20251117,09:36:03,200
NaN,86.85522979,43373,BUY,NaN,86.869831,300763.SZ,12.57607553,14.25477616,NaN,NaN,86.746,20251117,09:39:01,500
NaN,59.39775614,29622,BUY,NaN,59.58871458,300769.SZ,25.88584955,57.84897061,NaN,NaN,59.244,20251117,09:39:01,500
NaN,16.7867551,16805,BUY,NaN,16.79709671,300772.SZ,-10.86862919,-4.705152483,NaN,NaN,16.805,20251117,09:39:37,1000
NaN,65.74326642,19751,BUY,NaN,65.86170773,300776.SZ,-14.20681509,3.802067349,NaN,NaN,65.83666667,20251117,09:37:02,300
NaN,55.31506772,11041,BUY,NaN,55.16584307,300820.SZ,19.898325,-7.098038575,NaN,NaN,55.205,20251117,09:36:04,200
NaN,10.50411987,10518,BUY,NaN,10.50379901,300825.SZ,-13.21399114,-13.51986097,NaN,NaN,10.518,20251117,09:40:01,1000
NaN,45.9052056,31965,BUY,NaN,45.84308808,300827.SZ,52.48203972,39.00312504,NaN,NaN,45.66428571,20251117,09:39:01,700
NaN,67.87255038,20338,BUY,NaN,67.7577127,300842.SZ,11.67144073,-5.257060259,NaN,NaN,67.79333333,20251117,09:38:01,300
NaN,48.60704483,29092,BUY,NaN,48.5789909,300850.SZ,24.7655794,19.00497094,NaN,NaN,48.48666667,20251117,09:39:01,600
NaN,49.51560416,49618,BUY,NaN,49.63572663,300919.SZ,-20.6795089,3.571344372,NaN,NaN,49.618,20251117,09:39:07,1000
NaN,148.0417049,29543,BUY,NaN,147.6072227,300953.SZ,22.06843734,-7.301625084,NaN,NaN,147.715,20251117,09:36:01,200
NaN,15.10555742,4529,BUY,NaN,15.10353149,301109.SZ,5.885750637,4.545177033,NaN,NaN,15.09666667,20251117,09:37:06,300
