Exchange,Instrument,Time,Last,AskPrice,BidPrice,AskVolume,BidVolume,Volume
0,601607.SH,92121000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10800, 7400, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92124000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10800, 9300, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92130000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10800, 9300, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92133000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10800, 9300, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92142000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10800, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10800, 9300, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92145000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92148000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92151000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92157000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92203000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92206000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92209000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8100, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92215000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8800, 0, 0, 0, 0, 0, 0, 0, 0]",0
0,601607.SH,92221000,0,"[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[167400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12000, 8800, 0, 0, 0, 0, 0, 0, 0, 0]",0
