order_id,direction,volume,price,match_amount,order_time,trade_time,latency_ms,delta_position
PASSIVE_MKT_1186,B,300,17.04,5112.0,2024-01-02 13:13:09.000,2024-01-02 13:13:09.000,0.0,40200
PASSIVE_MKT_1188,B,300,17.04,5112.0,2024-01-02 13:14:09.000,2024-01-02 13:14:09.000,0.0,40500
PASSIVE_1187,B,300,17.03,5109.0,2024-01-02 13:14:09.000,2024-01-02 13:14:40.940,31940.0,40800
PASSIVE_1189,B,300,17.02,5106.0,2024-01-02 13:15:09.000,2024-01-02 13:15:16.760,7760.0,41100
PASSIVE_1190,B,300,17.01,5103.000000000001,2024-01-02 13:16:09.000,2024-01-02 13:16:09.000,0.0,41400
PASSIVE_1191,B,300,17.01,5103.000000000001,2024-01-02 13:17:15.000,2024-01-02 13:17:15.000,0.0,41700
PASSIVE_1192,B,300,17.01,5103.000000000001,2024-01-02 13:18:09.000,2024-01-02 13:18:09.000,0.0,42000
PASSIVE_1194,B,300,17.01,5103.000000000001,2024-01-02 13:20:09.000,2024-01-02 13:20:09.000,0.0,42300
PASSIVE_MKT_1195,B,300,17.01,5103.000000000001,2024-01-02 13:20:09.000,2024-01-02 13:20:09.000,0.0,42600
PASSIVE_MKT_1198,B,300,17.01,5103.000000000001,2024-01-02 13:22:09.000,2024-01-02 13:22:09.000,0.0,42900
PASSIVE_MKT_1200,B,300,17.01,5103.000000000001,2024-01-02 13:23:12.000,2024-01-02 13:23:12.000,0.0,43200
PASSIVE_MKT_1202,B,300,17.02,5106.0,2024-01-02 13:24:12.000,2024-01-02 13:24:12.000,0.0,43500
PASSIVE_1203,B,300,17.01,5103.000000000001,2024-01-02 13:25:09.000,2024-01-02 13:25:09.000,0.0,43800
PASSIVE_MKT_1204,B,300,17.01,5103.000000000001,2024-01-02 13:25:09.000,2024-01-02 13:25:09.000,0.0,44100
PASSIVE_MKT_1207,B,300,17.04,5112.0,2024-01-02 13:27:09.000,2024-01-02 13:27:09.000,0.0,44400
PASSIVE_MKT_1209,B,300,17.04,5112.0,2024-01-02 13:28:09.000,2024-01-02 13:28:09.000,0.0,44700
PASSIVE_1208,B,300,17.03,5109.0,2024-01-02 13:28:09.000,2024-01-02 13:28:34.790,25790.0,45000
PASSIVE_1210,B,300,17.03,5109.0,2024-01-02 13:29:09.000,2024-01-02 13:29:10.100,1100.0,45300
PASSIVE_1211,B,300,17.03,5109.0,2024-01-02 13:30:09.000,2024-01-02 13:30:32.120,23120.0,45600
PASSIVE_MKT_1214,B,300,17.04,5112.0,2024-01-02 13:32:09.000,2024-01-02 13:32:09.000,0.0,45900
PASSIVE_1213,B,300,17.03,5109.0,2024-01-02 13:32:09.000,2024-01-02 13:32:18.930,9930.0,46200
PASSIVE_1215,B,300,17.02,5106.0,2024-01-02 13:33:09.000,2024-01-02 13:33:09.000,0.0,46500
PASSIVE_1216,B,300,17.0,5100.0,2024-01-02 13:34:09.000,2024-01-02 13:34:21.750,12750.0,46800
PASSIVE_1217,B,300,17.01,5103.000000000001,2024-01-02 13:35:09.000,2024-01-02 13:35:09.000,0.0,47100
PASSIVE_1218,B,300,17.0,5100.0,2024-01-02 13:36:09.000,2024-01-02 13:36:31.480,22480.0,47400
PASSIVE_1219,B,300,17.0,5100.0,2024-01-02 13:37:09.000,2024-01-02 13:37:39.350,30350.0,47700
PASSIVE_1221,B,300,17.01,5103.000000000001,2024-01-02 13:39:09.000,2024-01-02 13:39:09.000,0.0,48000
PASSIVE_MKT_1222,B,300,17.01,5103.000000000001,2024-01-02 13:39:09.000,2024-01-02 13:39:09.000,0.0,48300
PASSIVE_1223,B,300,17.01,5103.000000000001,2024-01-02 13:40:09.000,2024-01-02 13:40:09.000,0.0,48600
PASSIVE_1224,B,300,17.01,5103.000000000001,2024-01-02 13:41:09.000,2024-01-02 13:41:09.000,0.0,48900
PASSIVE_MKT_1227,B,300,17.01,5103.000000000001,2024-01-02 13:43:09.000,2024-01-02 13:43:09.000,0.0,49200
PASSIVE_MKT_1229,B,300,17.01,5103.000000000001,2024-01-02 13:44:09.000,2024-01-02 13:44:09.000,0.0,49500
PASSIVE_MKT_1231,B,300,17.01,5103.000000000001,2024-01-02 13:45:09.000,2024-01-02 13:45:09.000,0.0,49800
PASSIVE_MKT_1233,B,300,17.01,5103.000000000001,2024-01-02 13:46:09.000,2024-01-02 13:46:09.000,0.0,50100
PASSIVE_1232,B,300,17.0,5100.0,2024-01-02 13:46:09.000,2024-01-02 13:47:07.500,58500.0,50400
PASSIVE_1234,B,300,17.0,5100.0,2024-01-02 13:47:09.000,2024-01-02 13:47:27.170,18170.0,50700
PASSIVE_1235,B,300,16.99,5096.999999999999,2024-01-02 13:48:09.000,2024-01-02 13:48:42.740,33740.0,51000
PASSIVE_1236,B,300,16.98,5094.0,2024-01-02 13:49:09.000,2024-01-02 13:50:08.030,59030.0,51300
PASSIVE_1237,B,300,16.98,5094.0,2024-01-02 13:50:09.000,2024-01-02 13:50:56.170,47170.0,51600
PASSIVE_1238,B,300,16.98,5094.0,2024-01-02 13:51:09.000,2024-01-02 13:51:31.520,22520.0,51900
PASSIVE_1239,B,300,16.98,5094.0,2024-01-02 13:52:09.000,2024-01-02 13:52:12.700,3700.0,52200
PASSIVE_1241,B,300,16.97,5091.0,2024-01-02 13:54:09.000,2024-01-02 13:54:09.000,0.0,52500
PASSIVE_MKT_1242,B,300,16.97,5091.0,2024-01-02 13:54:09.000,2024-01-02 13:54:09.000,0.0,52800
PASSIVE_1243,B,300,16.97,5091.0,2024-01-02 13:55:09.000,2024-01-02 13:55:09.000,0.0,53100
PASSIVE_MKT_1246,B,300,16.99,5096.999999999999,2024-01-02 13:57:09.000,2024-01-02 13:57:09.000,0.0,53400
PASSIVE_MKT_1248,B,300,17.0,5100.0,2024-01-02 13:58:09.000,2024-01-02 13:58:09.000,0.0,53700
PASSIVE_MKT_1250,B,300,17.0,5100.0,2024-01-02 13:59:09.000,2024-01-02 13:59:09.000,0.0,54000
PASSIVE_1249,B,300,16.99,5096.999999999999,2024-01-02 13:59:09.000,2024-01-02 13:59:34.810,25810.0,54300
PASSIVE_1251,B,300,16.99,5096.999999999999,2024-01-02 14:00:09.000,2024-01-02 14:00:36.150,27150.0,54600
PASSIVE_1252,B,300,16.98,5094.0,2024-01-02 14:01:09.000,2024-01-02 14:01:47.170,38170.0,54900
PASSIVE_1253,B,300,16.98,5094.0,2024-01-02 14:02:09.000,2024-01-02 14:02:15.810,6810.000000000001,55200
PASSIVE_1254,B,300,16.96,5088.0,2024-01-02 14:03:09.000,2024-01-02 14:03:11.070,2070.0,55500
PASSIVE_1255,B,300,16.96,5088.0,2024-01-02 14:04:09.000,2024-01-02 14:04:23.460,14460.0,55800
PASSIVE_1256,B,300,16.95,5085.0,2024-01-02 14:05:09.000,2024-01-02 14:05:09.000,0.0,56100
PASSIVE_1258,B,300,16.95,5085.0,2024-01-02 14:07:09.000,2024-01-02 14:07:09.000,0.0,56400
PASSIVE_MKT_1259,B,300,16.95,5085.0,2024-01-02 14:07:09.000,2024-01-02 14:07:09.000,0.0,56700
PASSIVE_1260,B,300,16.94,5082.0,2024-01-02 14:08:09.000,2024-01-02 14:08:09.000,0.0,57000
PASSIVE_1261,B,300,16.95,5085.0,2024-01-02 14:09:09.000,2024-01-02 14:09:09.000,0.0,57300
PASSIVE_1262,B,300,16.96,5088.0,2024-01-02 14:10:09.000,2024-01-02 14:10:09.000,0.0,57600
PASSIVE_1263,B,300,16.96,5088.0,2024-01-02 14:11:09.000,2024-01-02 14:11:28.000,19000.0,57900
