order_id,order_time,exchange,exchange_name,direction,direction_name,volume,price,ask1,bid1,delta_position
PASSIVE_1122,2024-01-02 11:02:09.000,0,上海,1,买入,300,16.93,16.94,16.93,27300
PASSIVE_MKT_1123,2024-01-02 11:02:09.000,0,上海,1,买入,300,16.94,16.94,16.93,27300
PASSIVE_1124,2024-01-02 11:03:09.000,0,上海,1,买入,300,16.94,16.94,16.93,27600
PASSIVE_MKT_1125,2024-01-02 11:03:09.000,0,上海,1,买入,300,16.95,16.94,16.93,27900
PASSIVE_1126,2024-01-02 11:04:09.000,0,上海,1,买入,300,16.93,16.95,16.93,28200
PASSIVE_1127,2024-01-02 11:05:09.000,0,上海,1,买入,300,16.94,16.95,16.94,28200
PASSIVE_MKT_1128,2024-01-02 11:05:09.000,0,上海,1,买入,300,16.95,16.95,16.94,28200
PASSIVE_1129,2024-01-02 11:06:09.000,0,上海,1,买入,300,16.94,16.95,16.94,28800
PASSIVE_1130,2024-01-02 11:07:09.000,0,上海,1,买入,300,16.93,16.94,16.93,29100
PASSIVE_1131,2024-01-02 11:08:09.000,0,上海,1,买入,300,16.93,16.94,16.93,29100
PASSIVE_MKT_1132,2024-01-02 11:08:09.000,0,上海,1,买入,300,16.94,16.94,16.93,29100
PASSIVE_1133,2024-01-02 11:09:09.000,0,上海,1,买入,300,16.93,16.94,16.93,29400
PASSIVE_MKT_1134,2024-01-02 11:09:09.000,0,上海,1,买入,300,16.94,16.94,16.93,29400
PASSIVE_1135,2024-01-02 11:10:09.000,0,上海,1,买入,300,16.93,16.94,16.93,29700
PASSIVE_MKT_1136,2024-01-02 11:10:09.000,0,上海,1,买入,300,16.94,16.94,16.93,29700
PASSIVE_1137,2024-01-02 11:11:09.000,0,上海,1,买入,300,16.92,16.93,16.92,30300
PASSIVE_1138,2024-01-02 11:12:09.000,0,上海,1,买入,300,16.92,16.93,16.92,30600
PASSIVE_1139,2024-01-02 11:13:09.000,0,上海,1,买入,300,16.93,16.94,16.93,30900
PASSIVE_1140,2024-01-02 11:14:09.000,0,上海,1,买入,300,16.92,16.94,16.92,31200
PASSIVE_1141,2024-01-02 11:15:09.000,0,上海,1,买入,300,16.93,16.94,16.93,31200
PASSIVE_MKT_1142,2024-01-02 11:15:09.000,0,上海,1,买入,300,16.94,16.94,16.93,31200
PASSIVE_1143,2024-01-02 11:16:09.000,0,上海,1,买入,300,16.93,16.94,16.93,31800
PASSIVE_1144,2024-01-02 11:17:09.000,0,上海,1,买入,300,16.95,16.95,16.94,31800
PASSIVE_MKT_1145,2024-01-02 11:17:09.000,0,上海,1,买入,300,16.96,16.95,16.94,32100
PASSIVE_1146,2024-01-02 11:18:09.000,0,上海,1,买入,300,16.95,16.96,16.94,32400
PASSIVE_1147,2024-01-02 11:19:09.000,0,上海,1,买入,300,16.95,16.95,16.94,32400
PASSIVE_MKT_1148,2024-01-02 11:19:09.000,0,上海,1,买入,300,16.96,16.95,16.94,32700
PASSIVE_1149,2024-01-02 11:20:09.000,0,上海,1,买入,300,16.94,16.95,16.94,33000
PASSIVE_1150,2024-01-02 11:21:09.000,0,上海,1,买入,300,16.94,16.95,16.94,33000
PASSIVE_MKT_1151,2024-01-02 11:21:09.000,0,上海,1,买入,300,16.95,16.95,16.94,33000
PASSIVE_1152,2024-01-02 11:22:09.000,0,上海,1,买入,300,16.92,16.93,16.92,33600
PASSIVE_1153,2024-01-02 11:23:09.000,0,上海,1,买入,300,16.93,16.94,16.93,33600
PASSIVE_MKT_1154,2024-01-02 11:23:09.000,0,上海,1,买入,300,16.94,16.94,16.93,33600
PASSIVE_1155,2024-01-02 11:24:09.000,0,上海,1,买入,300,16.94,16.95,16.94,33900
PASSIVE_MKT_1156,2024-01-02 11:24:09.000,0,上海,1,买入,300,16.95,16.95,16.94,33900
PASSIVE_1157,2024-01-02 11:25:09.000,0,上海,1,买入,300,16.94,16.95,16.94,34500
PASSIVE_1158,2024-01-02 11:26:18.000,0,上海,1,买入,300,16.93,16.93,16.92,34800
