Exchange,Instrument,Time,Last,BidPrice,AskPrice,BidVolume,AskVolume,Volume
1,000488.SZ,93121000,31900,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30800, 25407000000, 0, 0, 0, 0, 0, 0, 0, 0]","[25100, 235300, 308800, 330700, 200600, 233800, 286500, 229900, 508700, 73950]","[3, 5341250, 0, 0, 0, 0, 0, 0, 0, 0]",2518300
1,000488.SZ,93124000,32000,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30800, 25505000000, 0, 0, 0, 0, 0, 0, 0, 0]","[28900, 240300, 308800, 330700, 200600, 263300, 286500, 229900, 408700, 77950]","[3, 5274750, 0, 0, 0, 0, 0, 0, 0, 0]",2519000
1,000488.SZ,93127000,31900,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30800, 26293000000, 0, 0, 0, 0, 0, 0, 0, 0]","[35700, 268300, 310300, 341000, 224700, 114100, 286500, 229900, 408700, 77950]","[3, 5135050, 0, 0, 0, 0, 0, 0, 0, 0]",2527700
1,000488.SZ,93130000,31900,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30800, 26283000000, 0, 0, 0, 0, 0, 0, 0, 0]","[26600, 268300, 311900, 341000, 229200, 112100, 286500, 229900, 403400, 77950]","[3, 5129350, 0, 0, 0, 0, 0, 0, 0, 0]",2539800
1,000488.SZ,93133000,32000,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30900, 26580000000, 0, 0, 0, 0, 0, 0, 0, 0]","[36600, 306500, 317900, 341000, 229200, 112700, 286500, 229900, 403400, 107950]","[3, 5159950, 0, 0, 0, 0, 0, 0, 0, 0]",2540800
1,000488.SZ,93136000,31900,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30900, 27068000000, 0, 0, 0, 0, 0, 0, 0, 0]","[44300, 309500, 317900, 366000, 241200, 421900, 286500, 229900, 403400, 107950]","[3, 5469050, 0, 0, 0, 0, 0, 0, 0, 0]",2541200
1,000488.SZ,93139000,31900,"[31900, 31800, 31700, 31600, 31500, 32000, 32100, 32200, 32300, 32400]","[30900, 27365000000, 0, 0, 0, 0, 0, 0, 0, 0]","[51200, 305300, 327900, 371000, 253200, 426900, 286500, 229900, 403400, 107950]","[3, 5473550, 0, 0, 0, 0, 0, 0, 0, 0]",2544600
1,000488.SZ,93142000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[30900, 27537000000, 0, 0, 0, 0, 0, 0, 0, 0]","[12900, 50800, 319800, 326900, 370600, 275900, 219900, 406600, 107950, 120800]","[3, 4954150, 0, 0, 0, 0, 0, 0, 0, 0]",2980300
1,000488.SZ,93145000,31900,"[31900, 31800, 31700, 31600, 31500, 32100, 32200, 32300, 32400, 32500]","[31000, 29166000000, 0, 0, 0, 0, 0, 0, 0, 0]","[209900, 335200, 326900, 371400, 253200, 285900, 219900, 406600, 107950, 120800]","[3, 4953250, 0, 0, 0, 0, 0, 0, 0, 0]",3018600
1,000488.SZ,93148000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31000, 30080000000, 0, 0, 0, 0, 0, 0, 0, 0]","[53200, 247200, 335200, 325300, 371400, 277000, 219900, 406600, 107950, 120800]","[3, 4956250, 0, 0, 0, 0, 0, 0, 0, 0]",3037800
1,000488.SZ,93151000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31000, 30233000000, 0, 0, 0, 0, 0, 0, 0, 0]","[47700, 249100, 335200, 325300, 371400, 287600, 219900, 406600, 107950, 120800]","[3, 4966850, 0, 0, 0, 0, 0, 0, 0, 0]",3038300
1,000488.SZ,93154000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31000, 31304000000, 0, 0, 0, 0, 0, 0, 0, 0]","[114000, 253300, 340300, 325300, 371400, 287600, 186900, 406600, 107950, 120800]","[3, 4933850, 0, 0, 0, 0, 0, 0, 0, 0]",3118400
1,000488.SZ,93157000,32100,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31000, 31654000000, 0, 0, 0, 0, 0, 0, 0, 0]","[86400, 283400, 342300, 325300, 371400, 270100, 186900, 406600, 107950, 120800]","[3, 4916350, 0, 0, 0, 0, 0, 0, 0, 0]",3125900
1,000488.SZ,93200000,32100,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31000, 31978000000, 0, 0, 0, 0, 0, 0, 0, 0]","[107200, 284800, 346500, 325300, 376400, 253700, 186900, 406600, 107950, 120800]","[3, 4899950, 0, 0, 0, 0, 0, 0, 0, 0]",3129800
1,000488.SZ,93203000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31000, 32038000000, 0, 0, 0, 0, 0, 0, 0, 0]","[96300, 311500, 336700, 325300, 376400, 263000, 186900, 406600, 111150, 120800]","[3, 4912450, 0, 0, 0, 0, 0, 0, 0, 0]",3140900
1,000488.SZ,93206000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31100, 35309000000, 0, 0, 0, 0, 0, 0, 0, 0]","[82500, 325400, 657400, 329900, 377100, 225000, 186900, 406600, 111150, 118800]","[3, 4877450, 0, 0, 0, 0, 0, 0, 0, 0]",3165200
1,000488.SZ,93209000,32100,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31100, 35411000000, 0, 0, 0, 0, 0, 0, 0, 0]","[83400, 325400, 662400, 336600, 377100, 223500, 186900, 406600, 111150, 118800]","[3, 4875950, 0, 0, 0, 0, 0, 0, 0, 0]",3169000
1,000488.SZ,93212000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31100, 34566000000, 0, 0, 0, 0, 0, 0, 0, 0]","[72300, 335400, 662900, 252700, 377100, 267400, 186900, 406600, 113150, 121900]","[3, 4927250, 0, 0, 0, 0, 0, 0, 0, 0]",3194800
1,000488.SZ,93215000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31100, 35108000000, 0, 0, 0, 0, 0, 0, 0, 0]","[95400, 382600, 662900, 252400, 376200, 263300, 186900, 406600, 113150, 121900]","[3, 4936150, 0, 0, 0, 0, 0, 0, 0, 0]",3201700
1,000488.SZ,93218000,32000,"[32000, 31900, 31800, 31700, 31600, 32100, 32200, 32300, 32400, 32500]","[31100, 34911000000, 0, 0, 0, 0, 0, 0, 0, 0]","[110300, 359800, 661600, 241500, 376600, 267000, 186900, 406600, 113150, 121900]","[3, 4939850, 0, 0, 0, 0, 0, 0, 0, 0]",3204700
